Gene Symbol,log2FoldChange,Pvalue,Padjusted,innate_immune,species,condition,adaptive,gene_category
LGMN,2.103032892,0.0005478057191,0.04933406374,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
ITGAM,2.723377721,1.42E-08,5.03E-07,TRUE,Bos indicus,milk production,FALSE,immune
BOLA-DQA5,2.325456303,0.01604935186,0.3395632244,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
PGLYRP1,-2.583487134,0.006675113832,0.2310234065,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IL17REL,5.235576616,2.61E-16,2.14E-13,FALSE,Bos indicus,milk production,TRUE,immune
CCR9,-2.367581852,4.50E-05,0.0005071086713,FALSE,Bos indicus,milk production,TRUE,immune
IL15,-3.974530056,0.1709111181,0.3926038995,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IRF6,-23.73005625,8.78E-16,8.20E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC100848815,-3.676019232,0.2046081189,0.4562957215,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
BGN,-2.28140648,0.002483086106,0.01352573824,TRUE,Bos indicus,milk production,FALSE,immune
CD209,2.742867334,5.61E-05,0.0006043324718,TRUE,Bos indicus,milk production,FALSE,immune
BOLA-DQB,3.678299755,0.0009552513429,0.001082361401,FALSE,Bos taurus,BRSV Infection,TRUE,immune
LOC100847267,-23.14597516,1.64E-14,1.18E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CXCL16,-5.221829805,0.07196817316,0.1892968173,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TNFRSF18,2.88778,7.15E-06,0.000538202,TRUE,Bos taurus,MAP Infection,FALSE,immune
IGSF23,-25.78549916,1.20E-17,2.97E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IGHMBP2,2.234787702,7.27E-06,0.0001087458557,FALSE,Bos indicus,milk production,TRUE,immune
TRIB2,-3.375422824,2.76E-09,1.26E-07,TRUE,Bos indicus,milk production,FALSE,immune
CD3G,-2.125213523,0.001022348815,0.006667451803,FALSE,Bos indicus,milk production,TRUE,immune
IL34,-12.29834983,4.52E-05,0.0002792563514,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CRLF2,2.928320463,6.78E-10,3.91E-08,FALSE,Bos indicus,milk production,TRUE,immune
PIK3AP1,3.544353537,2.61E-09,1.21E-07,TRUE,Bos indicus,milk production,FALSE,immune
PIK3R1,-2.23359403,4.42E-10,2.68E-08,TRUE,Bos indicus,milk production,FALSE,immune
ITGA3,-2.370217772,1.79E-05,0.0002324138592,TRUE,Bos indicus,milk production,FALSE,immune
CD300E,-6.79043299,0.02441153618,0.0785338055,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TNF,5.030124,1.84E-13,2.72E-10,TRUE,Bos taurus,MAP Infection,FALSE,immune
MIR130A,-24.33655307,6.92E-16,6.72E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ACE2,2.566673426,0.0001738003078,0.004703579094,TRUE,Bos taurus,MAP Infection,FALSE,immune
F11,2.529937099,8.25E-06,0.0005921640612,TRUE,Bos taurus,MAP Infection,FALSE,immune
CD248,-8.44969089,0.002816056488,0.01282568293,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL10RA,2.47600888,5.07E-06,8.04E-05,FALSE,Bos indicus,milk production,TRUE,immune
IL23R,3.213249242,0.0001684184054,0.001523748621,FALSE,Bos indicus,milk production,TRUE,immune
XCR1,-5.554080596,0.06594831187,0.1756505817,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL1F10,5.651830746,8.19E-07,1.68E-05,FALSE,Bos indicus,milk production,TRUE,immune
IRAK2,2.194102,5.12E-09,1.23E-06,TRUE,Bos taurus,MAP Infection,TRUE,immune
RICTOR,2.020028397,0.00496760152,0.02335859717,TRUE,Bos indicus,milk production,FALSE,immune
BOLA-NC1,-2.312882845,0.4247337438,0.7715002929,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CXCL16,2.357877336,1.27E-05,0.0001746377383,FALSE,Bos indicus,milk production,TRUE,immune
UCP2,-2.318743099,0.4235757578,0.7703122755,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL36B,-6.641818218,0.02768615068,0.08711286385,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SIGLEC10,-2.941353638,0.3107497118,0.6264365012,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
PVRIG,-2.354812355,0.001758090971,0.01033642048,FALSE,Bos indicus,milk production,TRUE,immune
AICDA,-2.232588795,0.004363091327,0.02107439093,TRUE,Bos indicus,milk production,FALSE,immune
IL12RB2,-4.04572028,2.47E-12,3.46E-10,FALSE,Bos indicus,milk production,TRUE,immune
XIAP,-2.384138088,0.4106224062,0.7557900939,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IGSF9,-6.531983498,0.005322290781,0.02226290514,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SPAG16,-2.206194177,0.001121128626,0.007172352799,FALSE,Bos indicus,milk production,TRUE,immune
MX1,4.022404165,5.80E-06,3.70E-05,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MEA1,-3.534034368,0.2227227577,0.4886808287,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IGSF22,2.136814944,0.01214690328,0.04666990965,FALSE,Bos indicus,milk production,TRUE,immune
CXCL12,-7.876078962,0.009013434874,0.03509598004,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC101904674,7.029506679,0.009576107058,0.03902540576,FALSE,Bos indicus,milk production,TRUE,immune
LAX1,-2.013960054,0.0004925598947,0.003716509683,FALSE,Bos indicus,milk production,TRUE,immune
BOLA-DQA5,-5.076085634,0.08011737121,0.2073337323,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
RUBCNL,5.654397931,1.55E-14,5.22E-12,FALSE,Bos indicus,milk production,TRUE,immune
CFP,-3.968773246,0.1673605791,0.3859392664,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
EGFR,-7.548021875,0.01233126215,0.04527951442,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
KITLG,-2.522005272,0.05963999196,0.5543327126,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MARCO,2.274474758,0.002599836715,0.01405835208,TRUE,Bos indicus,milk production,FALSE,immune
LOC529792,-6.289851962,0.0154012757,0.05421695473,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
VSIG10,-3.745475753,0.1965945946,0.4419248241,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TNFSF9,2.798488971,0.0002839959907,0.002361645124,TRUE,Bos indicus,milk production,FALSE,immune
LAG3,-7.165485855,0.01372595376,0.04938004974,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TBKBP1,-4.878394363,0.09251063132,0.2350475911,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IKBKB,2.401970731,3.56E-07,8.38E-06,TRUE,Bos indicus,milk production,FALSE,immune
HIF1A,2.803618849,9.01E-06,0.0001299614944,TRUE,Bos indicus,milk production,FALSE,immune
S100A9,2.007547,1.41E-05,0.000930036,TRUE,Bos taurus,MAP Infection,FALSE,immune
DOK3,3.686427916,5.51E-12,6.87E-10,TRUE,Bos indicus,milk production,FALSE,immune
BOLA-DYB,-26.29921036,2.70E-18,9.85E-17,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
VEGFA,4.337407065,4.87E-13,9.09E-11,TRUE,Bos indicus,milk production,FALSE,immune
COPS5,-3.427150675,0.2369745197,0.5132848908,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IGLL1,-25.90940829,8.39E-18,2.27E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CD1B5,2.189478086,0.457858806,0.8077003619,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
NLRP1,-4.043654413,0.1677702776,0.3868284665,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
RORA,-2.26758363,4.00E-07,9.22E-06,TRUE,Bos indicus,milk production,FALSE,immune
IRF9,2.089425798,3.88E-05,0.007662866251,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LOC112442293,-8.08929895,0.005582706391,0.02318303689,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL1RAP,5.014337172,2.28E-08,7.58E-07,TRUE,Bos indicus,milk production,TRUE,immune
ETS1,-2.226218526,4.23E-05,0.0004829747244,TRUE,Bos indicus,milk production,FALSE,immune
PACSIN1,-2.022059177,0.1914526083,0.7742540526,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
CXCL2,5.114461,3.53E-07,5.88E-05,TRUE,Bos taurus,MAP Infection,TRUE,immune
RNF125,-4.019026621,0.1655007671,0.3824197109,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC788328,-7.187199868,0.01719262759,0.05939338631,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TNFSF11,-2.644561429,0.06635304546,0.1597420552,TRUE,Bos indicus,milk production,FALSE,immune
OAS2,2.760063804,6.87E-11,2.64E-10,TRUE,Bos taurus,BRSV Infection,FALSE,immune
ALCAM,2.595380328,8.60E-06,0.0001255674394,FALSE,Bos indicus,milk production,TRUE,immune
KIR3DL2,-2.932908078,5.22E-05,0.0005684079187,TRUE,Bos indicus,milk production,TRUE,immune
ZBTB16,2.20513336,0.0001216848734,0.003754715827,TRUE,Bos taurus,MAP Infection,FALSE,immune
PELI1,3.261207313,7.33E-07,1.53E-05,TRUE,Bos indicus,milk production,FALSE,immune
LOC132342115,2.280482048,0.001400047623,0.008588530796,FALSE,Bos indicus,milk production,TRUE,immune
IL17A,-5.10187761,0.00856574177,0.2570590059,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IL37,4.689484201,0.001890113706,0.01092909844,FALSE,Bos indicus,milk production,TRUE,immune
ACE2,-2.123319006,0.02362779793,0.3926780214,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
PYCARD,2.036848478,4.67E-05,0.0005205663132,TRUE,Bos indicus,milk production,FALSE,immune
DRAM1,2.206009592,0.0002149921216,0.02568110752,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
SOCS6,-2.093397095,0.4701663831,0.8192295978,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MIR223,4.525909206,1.32E-08,4.74E-07,TRUE,Bos indicus,milk production,FALSE,immune
BGN,-3.097690247,3.04E-07,5.26E-05,TRUE,Bos taurus,MAP Infection,FALSE,immune
SOCS2,2.269431117,0.3784232088,0.7181852313,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
PTGES,2.196672167,0.003683219991,0.1676059975,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MEFV,-4.145490669,0.1527714381,0.3591068514,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CD300LF,2.423638818,0.007246955788,0.2399628107,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MMP7,-25.735661,1.38E-17,3.38E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC510185,2.121336,0.4537444605,0.8025595593,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
EDN1,3.166254,0.000762937,0.03970296,TRUE,Bos taurus,MAP Infection,FALSE,immune
CCL28,-2.160231542,0.3956974904,0.7390835238,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL17RC,-3.253986462,0.2619398013,0.5531755015,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
FCGR3A,3.831068427,1.50E-11,1.52E-09,FALSE,Bos indicus,milk production,TRUE,immune
NRIP1,2.611251728,0.0005380568266,0.003978769149,TRUE,Bos indicus,milk production,FALSE,immune
F2RL1,-2.052995232,0.0003076943465,0.002516956152,TRUE,Bos indicus,milk production,FALSE,immune
KCNJ8,-26.65138982,9.54E-19,5.26E-17,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL32,-7.720415055,0.00790166392,0.03135270851,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SNAP23,-2.214447964,0.4447339139,0.7927564769,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TRIM13,-3.78851653,0.1911370361,0.4315910845,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IFNG,-3.074105313,2.57E-05,0.0003136971582,TRUE,Bos indicus,milk production,FALSE,immune
FLT4,2.126830645,0.1467379752,0.2785145395,TRUE,Bos indicus,milk production,FALSE,immune
TIGD4,-2.349380797,0.08101717271,0.6176436413,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IL11,-6.390274371,0.03417019563,0.1029145505,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL1R2,4.792329249,2.70E-13,5.27E-11,TRUE,Bos indicus,milk production,TRUE,immune
HSPA1A,-3.591091796,0.2153083404,0.4755998653,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
C4A,-4.527696285,0.118750574,0.2915183104,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
DEFB1,2.914450685,9.58E-06,0.0001371731977,TRUE,Bos indicus,milk production,FALSE,immune
NLRP6,-5.693814495,0.05937966252,0.161368707,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL1RN,4.809409339,8.31E-13,1.41E-10,FALSE,Bos indicus,milk production,TRUE,immune
C6,-2.597730779,0.02677675243,0.08338003665,TRUE,Bos indicus,milk production,FALSE,immune
EHMT2,-3.300172444,0.2547369817,0.5410253482,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
PTX3,6.565070608,5.43E-16,3.54E-13,TRUE,Bos indicus,milk production,FALSE,immune
IL13,-11.37825326,0.0001426097097,0.0008390343988,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112441494,2.163918486,0.01886185127,0.3604918929,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IFI6,2.394227694,3.00E-05,0.006452360942,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
SOCS3,2.428119,2.77E-06,0.000351556,TRUE,Bos taurus,MAP Infection,TRUE,immune
SIRPA,3.318789651,1.17E-12,1.82E-10,TRUE,Bos indicus,milk production,FALSE,immune
RGS2,3.575431194,3.04E-09,1.36E-07,TRUE,Bos indicus,milk production,FALSE,immune
TICAM2,-2.892473674,0.3182017015,0.6371179278,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CASP4,3.880478969,1.13E-11,1.22E-09,TRUE,Bos indicus,milk production,FALSE,immune
ZC3H12A,3.253132,4.51E-10,1.66E-07,TRUE,Bos taurus,MAP Infection,FALSE,immune
RSAD2,3.108173892,1.95E-11,8.34E-11,TRUE,Bos taurus,BRSV Infection,FALSE,immune
IL31RA,-6.194884598,0.03315562341,0.1004052369,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC104973965,-23.48350293,6.78E-15,5.24E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
NFAT5,2.491421527,0.001933005027,0.01112034492,TRUE,Bos indicus,milk production,FALSE,immune
IFITM2,2.042715837,0.0006192588224,0.004477541331,TRUE,Bos indicus,milk production,FALSE,immune
LOC112441507,3.730697969,1.00E-11,2.88E-08,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
CCL5,-6.141042945,0.03432330487,0.1032981517,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCR9,-4.094615732,0.1539799875,0.3614712301,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCR8,-3.265235201,0.2598575951,0.5504440281,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LST1,2.801862156,3.06E-06,5.17E-05,TRUE,Bos indicus,milk production,TRUE,immune
LOC527384,-25.51130648,2.63E-17,5.58E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL26,3.015328104,0.0005864575382,0.01056921041,FALSE,Bos taurus,MAP Infection,TRUE,immune
CCR5,2.122079251,0.0003033713416,0.002491076332,FALSE,Bos indicus,milk production,TRUE,immune
C1S,-6.700340155,0.01385497728,0.04974873634,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SDC4,2.438549773,7.34E-10,4.17E-08,TRUE,Bos indicus,milk production,FALSE,immune
MIR21,-22.79366564,3.45E-14,2.38E-13,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IGSF6,5.796699624,3.05E-12,4.15E-10,FALSE,Bos indicus,milk production,TRUE,immune
LOC522128,4.7372215,0.0006179046716,0.004469304572,FALSE,Bos indicus,milk production,TRUE,immune
IL20,3.474901498,0.01267680499,0.04818037891,FALSE,Bos indicus,milk production,TRUE,immune
FCN1,-3.228583527,3.14E-06,0.0002994480832,TRUE,Bos taurus,MAP Infection,FALSE,immune
PCBP1,-3.266910283,0.2595408251,0.5498455971,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
